N M_0 R_0 M_t R_t T_tot
#144765 85202.2167 3.0022 83457.9922 3.2474 4000.0207
144765 85202.2167 3.9029 83457.9644 4.2970 4000.0284
#170000 96285.1100 3.5381 96285.1100 3.7210 4000.0117
170000 96285.1100 3.5381 96285.1100 3.7361 4000.0217
#180000 101848.3200 3.4476 101848.3200 5.6748 8000.0406
180000 101848.3200 4.0000 101848.3200 7.1952 8000.0447
#200000 117681.3124 3.8995 115289.3243 4.1896 4000.0271
200000 117681.3124 4.2894 115288.8383 4.6577 4000.0177
220000 124481.2800 4.0001 124481.2800 7.8615 8000.0399
#220000 125489.1000 3.9997 125489.1000 3.8247 4000.0135
220000 125489.1000 3.9997 125489.1000 4.1814 4000.0135
#220000 125489.1000 3.9997 125489.1000 4.2368 8000.0481
220000 125489.1000 3.9997 125489.1000 4.3964 8000.0481
#273985 128220.5962 5.5697 128220.5962 5.6800 2000.0218
273985 128220.5962 5.5697 128220.5962 5.8657 4000.0265
#273985 128220.5962 5.5697 128220.5962 6.3397 8000.0531
273985 128220.5962 5.5697 128220.5962 6.3397 8000.0531
